District Name,Source 1 (Rajshahi),Source 2 (Tangail),Source 3 (Pabna),Distance (Source1 to Dhaka),Distance (Source 2 to Dhaka),Distance(Source 3 to Dhaka),Travel cost from source 1 to dhaka,Travel cost from source 2 to dhaka,Travel cost from source 3 to dhaka,Per head Income (Annually),Production cost per dress S1,Production cost per dress S2,Production cost per dress S3
Bagerhat,285,195,225,256,110,150,380,165,225,45000,8.5,7.8,8.2
Bandarban,420,330,360,391,245,285,585,367,427,38000,9.2,8.5,8.9
Barguna,320,230,260,291,145,185,435,217,277,42000,8.8,8.1,8.5
Barishal,280,190,220,251,105,145,375,157,217,46000,8.4,7.7,8.1
Bhola,310,220,250,281,135,175,420,202,262,44000,8.7,8,8.4
Bogura,210,120,85,181,65,45,270,97,67,52000,7.9,7.2,7.3
Brahmanbaria,370,280,310,341,195,235,525,292,352,41000,9,8.3,8.7
Chandpur,340,250,280,311,165,205,495,247,307,43000,8.9,8.2,8.6
Chattogram,390,300,330,361,215,255,555,322,382,55000,9.1,8.4,8.8
Chuadanga,240,150,120,211,95,75,315,142,112,48000,8.2,7.5,7.6
Cumilla,350,260,290,321,175,215,480,262,322,47000,8.8,8.1,8.5
Cox's Bazar,450,360,390,421,275,315,630,412,472,40000,9.5,8.8,9.2
Dhaka,260,170,200,231,85,125,390,127,187,65000,8.6,7.9,8.3
Dinajpur,300,210,175,271,125,90,405,187,135,49000,8.7,8,7.7
Faridpur,230,140,170,201,55,95,345,82,142,50000,8.1,7.4,7.8
Feni,380,290,320,351,205,245,570,307,367,42000,9.1,8.4,8.8
Gaibandha,290,200,165,261,115,80,435,172,120,48000,8.6,7.9,7.6
Gazipur,240,150,180,211,65,105,360,97,157,58000,8.2,7.5,7.9
Gopalganj,250,160,190,221,75,115,375,112,172,46000,8.3,7.6,8
Habiganj,420,330,360,391,245,285,585,367,427,44000,9.2,8.5,8.9
Jamalpur,270,180,145,241,95,60,405,142,90,47000,8.5,7.8,7.5
Jashore,220,130,160,191,85,125,330,127,187,51000,8,7.3,7.7
Jhalokati,290,200,230,261,115,155,435,172,232,45000,8.6,7.9,8.3
Jhenaidah,230,140,110,201,85,65,345,127,97,49000,8.1,7.4,7.4
Joypurhat,240,150,115,211,95,70,360,142,105,50000,8.2,7.5,7.5
Khagrachhari,430,340,370,401,255,295,600,382,442,39000,9.3,8.6,9
Khulna,240,150,180,211,95,135,360,142,202,53000,8.2,7.5,7.9
Kishoreganj,280,190,220,251,105,145,420,157,217,46000,8.4,7.7,8.1
Kurigram,320,230,195,291,145,110,480,217,165,45000,8.8,8.1,7.8
Kushtia,210,120,90,181,75,50,315,112,75,52000,7.9,7.2,7.4
Lakshmipur,360,270,300,331,185,225,540,277,337,43000,9,8.3,8.7
Lalmonirhat,330,240,205,301,155,120,495,232,180,46000,8.9,8.2,7.9
Madaripur,260,170,200,231,85,125,390,127,187,48000,8.6,7.9,8.3
Magura,230,140,110,201,85,65,345,127,97,49000,8.1,7.4,7.4
Manikganj,220,130,160,191,45,85,330,67,127,54000,8,7.3,7.7
Meherpur,260,170,140,231,85,55,390,127,82,47000,8.6,7.9,7.5
Moulvibazar,440,350,380,411,265,305,615,397,457,43000,9.4,8.7,9.1
Munshiganj,250,160,190,221,75,115,375,112,172,56000,8.3,7.6,8
Mymensingh,260,170,135,231,85,50,390,127,75,48000,8.6,7.9,7.4
Naogaon,230,140,105,201,85,60,345,127,90,50000,8.1,7.4,7.5
Narail,250,160,130,221,95,75,375,142,112,48000,8.3,7.6,7.6
Narayanganj,260,170,200,231,85,125,390,127,187,62000,8.6,7.9,8.3
Narsingdi,270,180,210,241,95,135,405,142,202,54000,8.5,7.8,8.2
Natore,200,110,75,171,55,30,300,82,45,51000,7.8,7.1,7.2
Netrokona,290,200,165,261,115,80,435,172,120,46000,8.6,7.9,7.6
Nilphamari,320,230,195,291,145,110,480,217,165,47000,8.8,8.1,7.8
Noakhali,370,280,310,341,195,235,555,292,352,42000,9,8.3,8.7
Pabna,150,60,0,121,15,0,180,22,0,53000,7.6,6.9,6.5
Panchagarh,350,260,225,321,175,140,525,262,210,45000,8.8,8.1,7.9
Patuakhali,300,210,240,271,125,165,450,187,247,44000,8.7,8,8.4
Pirojpur,290,200,230,261,115,155,435,172,232,45000,8.6,7.9,8.3
Rajbari,240,150,180,211,65,105,360,97,157,49000,8.2,7.5,7.9
Rajshahi,0,110,145,29,65,100,0,97,150,54000,6.5,7.1,7.8
Rangamati,410,320,350,381,235,275,615,352,412,40000,9.1,8.4,8.8
Rangpur,310,220,185,281,135,100,465,202,150,48000,8.7,8,7.8
Satkhira,270,180,150,241,125,95,405,187,142,47000,8.5,7.8,7.7
Shariatpur,280,190,220,251,105,145,420,157,217,47000,8.4,7.7,8.1
Sherpur,280,190,155,251,105,70,420,157,105,46000,8.4,7.7,7.6
Sirajganj,190,100,65,161,45,20,285,67,30,52000,7.7,7,6.8
Sunamganj,450,360,390,421,275,315,630,412,472,41000,9.5,8.8,9.2
Sylhet,430,340,370,401,255,295,600,382,442,50000,9.3,8.6,9
Tangail,170,0,135,141,0,50,255,0,75,55000,7.5,6.8,7.4
Thakurgaon,340,250,215,311,165,130,510,247,195,46000,8.9,8.2,7.9
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
