District,S1_Dist,S2_Dist,S3_Dist,Col4,Col5,Col6,S1_TravelCost,S2_TravelCost,S3_TravelCost,PerHeadIncome,S1_ProdCost,S2_ProdCost,S3_ProdCost
Bagerhat,288,253,157,16,21,18,20,24,40,293350,175,185,157
Bandarban,170,175,115,9,93,46,18,13,23,360686,126,103,175
Barguna,38,216,49,33,12,82,32,39,41,223312,174,109,135
Barisal,195,271,262,63,62,86,28,29,48,226973,122,139,127
Bhola,168,209,296,100,9,53,25,49,26,355598,131,134,166
Bogra,71,66,125,70,35,91,18,30,47,205330,119,138,118
Brahmanbaria,58,269,291,2,73,40,39,34,44,292079,101,198,128
Chandpur,98,102,34,2,33,35,31,48,13,378800,135,154,153
Chapai Nawabganj,266,58,232,51,21,54,33,38,41,291426,151,166,131
Chattogram,156,38,70,98,96,22,46,34,40,302072,138,127,138
Chuadanga,222,191,106,15,8,74,15,30,41,221466,142,151,179
Comilla,269,289,223,45,15,61,44,33,39,335472,185,144,168
Cox's Bazar,285,163,247,42,83,9,16,47,12,338949,191,192,110
Dhaka,52,119,120,36,57,66,45,22,44,222294,181,182,106
Dinajpur,278,151,196,72,23,44,26,19,28,337771,162,122,195
Faridpur,182,269,30,26,24,83,33,35,37,240526,186,166,118
Feni,206,201,233,90,16,40,33,31,34,275620,157,148,110
Gaibandha,80,57,266,28,77,8,46,27,11,305464,162,134,194
Gazipur,216,230,115,79,96,39,10,36,22,260516,157,200,157
Gopalganj,285,133,109,25,67,58,29,15,19,270720,150,161,183
Habiganj,189,22,176,98,62,36,20,27,11,306894,195,150,111
Jamalpur,198,52,129,62,49,100,21,48,38,345198,115,199,196
Jessore,114,141,153,63,22,21,44,47,17,397487,124,199,164
Jhalokathi,75,148,93,18,61,58,35,35,23,372155,117,168,126
Jhenaidah,297,163,23,6,45,84,23,15,41,354311,105,112,189
Joypurhat,145,227,250,58,35,10,16,22,47,281069,112,118,146
Khagrachhari,262,245,199,84,75,72,18,30,41,389596,192,169,151
Khulna,107,165,238,3,87,27,14,35,15,204571,189,105,174
Kishoreganj,261,197,134,72,7,8,30,41,34,359906,130,101,120
Kurigram,245,24,29,94,84,82,29,48,10,272449,137,197,127
Kushtia,108,112,228,81,41,64,16,37,36,296267,140,196,104
Lakshmipur,232,239,133,30,61,89,38,34,38,231156,155,175,105
Lalmonirhat,140,154,240,60,96,64,18,13,17,242549,129,143,115
Madaripur,233,134,234,86,84,26,43,34,36,308528,123,115,162
Magura,260,138,216,45,54,72,25,37,25,227643,126,124,196
Manikganj,54,35,63,40,83,21,35,29,21,381757,162,171,145
Meherpur,272,160,300,32,90,100,24,36,22,202372,197,139,129
Moulvibazar,134,270,269,17,80,73,16,43,34,333696,126,170,150
Munshiganj,83,19,283,85,30,79,22,17,30,240930,126,165,159
Mymensingh,288,233,155,74,50,24,48,36,41,272784,155,151,192
Naogaon,280,23,231,19,36,0,25,15,29,304274,120,107,158
Narail,82,280,45,79,60,91,15,12,25,299636,157,127,111
Narayanganj,124,156,189,38,63,94,17,17,39,289736,104,180,104
Narsingdi,75,234,169,63,45,47,47,40,10,378119,152,103,200
Natore,164,102,278,18,72,21,11,33,46,351763,148,195,140
Nawabganj,127,258,217,36,40,15,31,17,35,329284,183,108,168
Netrakona,234,110,16,77,10,4,20,20,34,337212,155,200,185
Nilphamari,44,132,85,62,92,78,41,47,40,358827,147,194,198
Noakhali,273,28,185,40,81,90,37,21,29,336134,172,122,123
Pabna,87,203,39,53,59,2,34,13,46,370221,150,144,166
Panchagarh,212,266,134,90,47,46,29,38,44,220315,179,128,121
Patuakhali,219,147,13,10,47,85,15,45,13,261065,126,191,153
Pirojpur,130,298,97,46,64,0,12,22,43,345381,160,180,125
Rajbari,240,117,27,35,19,3,24,11,29,282525,158,126,124
Rajshahi,166,292,192,49,37,33,14,17,49,249501,169,142,200
Rangamati,87,202,222,43,47,80,42,14,45,224422,141,156,172
Rangpur,300,279,263,48,7,28,44,22,37,210649,131,108,158
Satkhira,186,163,202,55,69,44,26,14,48,274355,153,164,139
Shariatpur,18,153,23,49,67,37,31,19,46,204656,180,129,149
Sherpur,81,140,221,21,75,82,30,49,47,382980,121,104,100
Sirajganj,257,72,189,55,88,84,38,50,10,394054,156,194,153
Sunamganj,274,81,121,91,26,36,16,44,18,281304,151,102,143
Sylhet,216,168,132,89,79,5,25,34,27,378218,137,200,108
Tangail,251,205,178,97,57,70,12,46,38,336998,152,145,127
Thakurgaon,153,150,272,8,98,66,19,15,26,285207,114,167,162
